Commodity,HSCode,Value_2020_M,Value_2023_M,Growth_5yr_%,Opportunity
AMOXYCILLINE AND ITS SALTS,29411030,88.62,184.02,107.65064319566689,EMERGING_OPPORTUNITY
BUTTER,04051000,20.22,183.89,809.4460929772503,EMERGING_OPPORTUNITY
KABULI CHANA,07132010,64.24,179.7,179.73225404732253,EMERGING_OPPORTUNITY
OTHERS-OF-OTHERS-OF-OTHER ARTICLES OF WOOD,44219919,0.15,179.5,119566.66666666667,EMERGING_OPPORTUNITY
"OTHERS-OF-OTHERS-OF-ORTHPDC APLNCS,ARTFCL PRTS OF TH BODY;HRNGAIDS AND OTHR APLNCS WHCH ARE WRN/CRRD/ IMPLNTD IN THE BODY TO C",90213900,48.47,177.24,265.6694862801734,EMERGING_OPPORTUNITY
UNVRSL PLATES OF FLAT-ROLD PRDCTS NOT IN  COILS OF THCKNS EXCD 10 MM  HOT-RLD PICKLD,72085120,80.21,176.32,119.82296471761626,EMERGING_OPPORTUNITY
CHASSIS FR VHCLS HDNG 8702 (>13 PERSONS),87060029,58.59,175.27,199.14661204983787,EMERGING_OPPORTUNITY
OTHR IRON/NON ALOY STEEL IN PRMRY FRMS NES,72069019,0.15,174.08,115953.33333333336,EMERGING_OPPORTUNITY
RIBBON FISH FROZEN,03038930,76.02,171.49,125.58537227045517,EMERGING_OPPORTUNITY
OTHERS OF OTHER ARTICLES OF  FORGED OR    STAMPED BUT NOT FURTHER WORKED,73261990,84.12,169.13,101.05801236329053,EMERGING_OPPORTUNITY
OTHERS-OF-OTHR SEMI-FNSHD PRDCTS OF OTHR ALLOY STEEL,72249099,11.59,167.29,1343.399482312338,EMERGING_OPPORTUNITY
OTHER WINDING WIRE OF COPPER EXCL ENAMELLED COPPER,85441190,33.61,167.06,397.05444808092824,EMERGING_OPPORTUNITY
CARPETS,57025021,0.71,164.83,23115.49295774648,EMERGING_OPPORTUNITY
CARPETS,57029110,5.38,164.83,2963.7546468401492,EMERGING_OPPORTUNITY
"BORDS,PANELS,CONSOLES ETC.FR OTHR USE",85381090,66.59,164.54,147.0941582820243,EMERGING_OPPORTUNITY
BRIGHT BARS-NCKL CHROMIUM AUSTENITIC TYPE,72221112,7.15,161.98,2165.454545454545,EMERGING_OPPORTUNITY
"FLAKES OF SODIUM HYDROXIDE(NAOH),SOLID",28151110,52.04,161.79,210.89546502690237,EMERGING_OPPORTUNITY
"OTHER,WELDED,OF CIRCULAR CROSS-SECTION,   OF STAINLESS STEEL TUBES/PIPES",73064000,66.45,161.54,143.10007524454477,EMERGING_OPPORTUNITY
"OTHERS-OF-OTHERS-OF-INSCTCDS,RDNTCDS,FNGCDS,HRBCDS,ANTSPROUTNGPRDCTS AND PLNTGRWTH RGLTRS-DSINFCTNTS ETCIN PCKNGS/AS ARTCLS (S",38085900,7.7,158.12,1953.5064935064938,EMERGING_OPPORTUNITY
LQD DIELECTRC TRNSFRMRS HVNG A PWR HNDLNG CAPACITY>650 KVA BUT<=10000 KVA,85042200,44.7,157.22,251.72259507829975,EMERGING_OPPORTUNITY
OTHERS-OF-OTHR FTWEAR WTH OUTR SOLES OF RUBR/PLSTCS AND WITH UPPER OF TEXTILE MATERIALS,64041990,67.77,155.74,129.80669912940832,EMERGING_OPPORTUNITY
INDIAN MACKERELS (RASTRELLIGER SPP.),03035910,62.08,155.7,150.805412371134,EMERGING_OPPORTUNITY
MAGNETIC RESONANCE IMAGING APPARATUS,90181300,28.49,154.88,443.6293436293437,EMERGING_OPPORTUNITY
GREY,52054410,43.24,154.31,256.868640148011,EMERGING_OPPORTUNITY
GREY,52054110,0.28,154.31,55010.714285714275,EMERGING_OPPORTUNITY
GREY,52052110,8.7,154.31,1673.6781609195405,EMERGING_OPPORTUNITY
GREY,52054310,12.67,154.31,1117.9163378058406,EMERGING_OPPORTUNITY
GREY,52054210,20.14,154.31,666.1866931479643,EMERGING_OPPORTUNITY
GREY,52053510,4.64,154.31,3225.6465517241386,EMERGING_OPPORTUNITY
GREY,52053410,18.75,154.31,722.9866666666667,EMERGING_OPPORTUNITY
GREY,52053310,21.73,154.31,610.1242521859182,EMERGING_OPPORTUNITY
GREY,52053210,60.48,154.31,155.1421957671958,EMERGING_OPPORTUNITY
GREY,52054610,5.23,154.31,2850.4780114722753,EMERGING_OPPORTUNITY
GREY,52053110,1.43,154.31,10690.90909090909,EMERGING_OPPORTUNITY
GREY,52051510,0.19,154.31,81115.78947368421,EMERGING_OPPORTUNITY
GREY,52051410,59.1,154.31,161.09983079526228,EMERGING_OPPORTUNITY
GREY,52051110,26.7,154.31,477.94007490636704,EMERGING_OPPORTUNITY
GREY,52054810,28.31,154.31,445.0724125750618,EMERGING_OPPORTUNITY
OTHR VSSLS FOR TRNSPRT OF GOODS AND OTHR    VSSLS FOR TRNSPRT OF PERSONS AND GOODS,89019000,28.61,152.13,431.7371548409647,EMERGING_OPPORTUNITY
OTHER PAPER,48025790,50.57,150.99,198.5762309669765,EMERGING_OPPORTUNITY
OTHER PAPER,48025690,13.2,150.99,1043.8636363636367,EMERGING_OPPORTUNITY
OTHER PAPER,48025590,58.03,150.99,160.19300361881784,EMERGING_OPPORTUNITY
