symbol,train_hit_rate,test_hit_rate,test_mean_excess
ZS,0.6666666666666666,0.5,-17.416908
KAI,0.5714285714285714,0.5,-17.435724
CPAY,0.5714285714285714,0.0,-17.438322
NVR,0.5714285714285714,0.0,-17.481098
EXP,0.42857142857142855,0.0,-17.489578
GNRC,0.7142857142857143,0.0,-17.50325
DBI,0.2857142857142857,0.5,-17.5443
CSL,0.5714285714285714,0.0,-17.593952
HXL,0.14285714285714285,0.5,-17.810514
LIN,1.0,0.0,-17.897762
CVEO,0.2857142857142857,0.0,-17.928589
ZBRA,0.5714285714285714,0.5,-18.100857
ONTO,0.75,0.0,-18.112312
RLI,0.5714285714285714,0.5,-18.137867
KSS,0.2857142857142857,0.5,-18.31228
MCD,0.42857142857142855,0.0,-18.358997
LAD,0.42857142857142855,0.0,-18.386208
PYPL,0.42857142857142855,0.5,-18.41449
MSCI,0.7142857142857143,0.0,-18.544144
PACK,0.5,0.5,-18.550661
MGY,0.5,0.0,-18.594301
MAT,0.42857142857142855,0.0,-18.619177
FAF,0.42857142857142855,0.0,-18.65081
WINA,0.5714285714285714,0.0,-18.65989
PAG,0.5714285714285714,0.0,-18.6949
WLKP,0.42857142857142855,0.0,-18.7733
PENG,0.16666666666666666,0.0,-18.803589
WOR,0.42857142857142855,0.5,-18.863424
PRS,0.2,0.0,-18.934761
FLGT,0.42857142857142855,0.5,-18.961271
ANDE,0.5714285714285714,0.5,-18.978672
IR,0.8333333333333334,0.0,-19.00027
SYY,0.42857142857142855,0.0,-19.02389
CAR,0.2857142857142857,0.5,-19.091648
WH,0.4,0.5,-19.226387
STAG,0.5714285714285714,0.0,-19.293337
OIS,0.14285714285714285,0.5,-19.371494
NXRT,0.5714285714285714,0.5,-19.425678
DRH,0.2857142857142857,0.0,-19.450844
AVT,0.14285714285714285,0.0,-19.456928
PSX,0.2857142857142857,0.0,-19.48027
SHOO,0.7142857142857143,0.0,-19.571686
SUN,0.5714285714285714,0.0,-19.577606
FELE,0.7142857142857143,0.0,-19.631268
PTC,0.7142857142857143,0.0,-19.684635
