effect,coef,se,p,horizon,n,p_fdr
not_distress:net_margin,-2.23780003174392,1.382675429795368,0.10556425498585176,xret_T+126d,55410,0.4261882897909795
graham_10y:peg_value,2.4501131245399383,1.5173531316185715,0.10636953449699171,xret_T+126d,55410,0.4279140815260659
debt_reduction:pb_value,-2.6184892130679778,1.63018402501634,0.10821816650990483,xret_T+126d,55410,0.43101161857822995
darvas:roce_plus,-2.1794960002075747,1.3611815446756348,0.10933716550450576,xret_T+126d,55410,0.4328633219800416
low_beta:fcf_margin,1.3834003598384461,0.8644535363598878,0.10952810559757245,xret_T+126d,55410,0.4328633219800416
coffee_can:reversal_monthly,-3.126894890395913,1.9622134393739765,0.11103575706962146,xret_T+126d,55410,0.43641462773663176
roce_plus:debt_reduction,-3.6048276190978346,2.2626590886053695,0.11111937923783569,xret_T+126d,55410,0.43641462773663176
capacity_expansion:low_beta,-1.247314273870572,0.7857852775143792,0.11243396904813605,xret_T+126d,55410,0.4408683161336882
debt_reduction:eps_growth,-3.5003555728406415,2.2126085413128087,0.11364865630732826,xret_T+126d,55410,0.44418546044120466
magic_formula:ps_value,-8.029069052103148,5.090706246071472,0.11474918944305669,xret_T+126d,55410,0.445122611570502
capacity_expansion:reversal_monthly,-1.3244726151872377,0.8401936242043142,0.11493600968945991,xret_T+126d,55410,0.445122611570502
golden_cross:operating_margin,-1.4327841331966762,0.9162972574930145,0.11789570179208037,xret_T+126d,55410,0.4515318223695823
debt_reduction:peg_value,3.168884603025047,2.0541752291319955,0.12291439757511144,xret_T+126d,55410,0.4604844062373837
ev_ebitda_value:fcf_margin,2.2022608608715566,1.428154930393674,0.12306577385859813,xret_T+126d,55410,0.4604844062373837
small_cap_growth:fcf_yield,-8.53841606292617,5.653610179069081,0.13097733074725296,xret_T+126d,55410,0.48019723065992104
debt_reduction:net_debt_ebitda,-2.357226790970772,1.5617578210855372,0.13121138750479816,xret_T+126d,55410,0.48019723065992104
sloan_quality:pb_value,-1.2957085814249547,0.8659888598557534,0.13459671655391822,xret_T+126d,55410,0.4851742108338913
roce_plus:not_distress,1.974898643766289,1.3263596812884013,0.13649747875686336,xret_T+126d,55410,0.48868322897328115
below_200dma:operating_margin,2.0647812195330086,1.3926115566430202,0.13816252073175458,xret_T+126d,55410,0.4912320447957812
growth_stocks:eps_growth,-9.72562054551021,6.593912644961837,0.14022887780064558,xret_T+126d,55410,0.49531245711085936
darvas:pead_positive_surprise,-1.532394721378266,1.0501083108278426,0.14448997936402908,xret_T+126d,55410,0.5042795968532671
graham_10y:ev_sales,-2.3157291083026132,1.5921336728953808,0.1458128352840442,xret_T+126d,55410,0.5051347727191985
pead_positive_surprise:operating_margin,1.8461675821626993,1.2743143879177323,0.14740640040462674,xret_T+126d,55410,0.5070703199297538
new_highs:small_cap_growth,6.288305194654193,4.367848282391225,0.14995786491377064,xret_T+126d,55410,0.5103701789539551
piotroski:pb_value,1.7574900361628907,1.2213268747571526,0.15015036885730954,xret_T+126d,55410,0.5103701789539551
ps_value:roic_value,3.3203354340215294,2.311493315084772,0.15087545848855902,xret_T+126d,55410,0.510610144708512
