Symbol,ebit,capital_employed,cash,roace,years,roace_ex_cash,cash_pct_of_ce,roace_cv,f_score,f_max,f_tested,turnover,tier,roace_pct,roace_ex_cash_pct
ASAHIINDIA,6626400000.0,61407000000.0,2453100000.0,0.1079095217157653,4,0.11239968857022181,3.9948214372954225,0.28418131889608045,5.0,7,7.0,67239225.975,MID,10.79095217157653,11.23996885702218
ASKAUTOLTD,4390700000.0,18463900000.0,135500000.0,0.23779916485682873,4,0.2395571899347461,0.7338644598378458,0.08473660519740998,4.0,7,7.0,64726394.45,MID,23.77991648568287,23.95571899347461
PFIZER,9851500000.0,42944000000.0,30883900000.0,0.2294034090909091,4,0.8168671901559689,71.91668219076006,0.0682526012895799,4.666666666666667,7,6.0,89702856.05,MID,22.94034090909091,81.68671901559689
AHCL,462479000.0,2663994000.0,43759000.0,0.17360361922737064,4,0.1765028709256994,1.642608804674485,0.19116301033141916,3.0,7,7.0,62133705.93,MID,17.360361922737063,17.65028709256994
LOTUSDEV,3286880000.0,19688180000.0,11220780000.0,0.1669468686287915,4,0.38818055129083306,56.99246959343118,0.6097885308233715,3.0,7,7.0,67321325.69999999,MID,16.69468686287915,38.818055129083305
HIMATSEIDE,4124598000.0,35675815000.0,6758845000.0,0.11561328031328787,4,0.1426358985744357,18.945173361841906,0.3645293434137763,5.0,7,7.0,75972954.805,MID,11.561328031328786,14.26358985744357
SEAMECLTD,2900500000.0,15520400000.0,2052200000.0,0.18688307002396845,4,0.2153591422758795,13.222597355738255,0.46036088938695147,6.0,7,7.0,69867112.4,MID,18.688307002396844,21.53591422758795
SPANDANA,-3057800000.0,62241900000.0,12747000000.0,-0.04912767765765505,4,-0.061780102596429125,20.479773271702825,1.7184209468689753,4.0,7,7.0,70424799.67500001,MID,-4.912767765765505,-6.178010259642912
TEGA,2237140000.0,35932320000.0,24143530000.0,0.0622598262511299,4,0.18976841558802895,67.191681472279,0.359979757997473,5.0,7,7.0,62475687.150000006,MID,6.22598262511299,18.976841558802896
RAMCOSYS,529710000.0,4450590000.0,1359550000.0,0.11902017485322171,4,0.17136950670324552,30.547635257347906,1.2540442640842198,7.0,7,6.0,84013618.17500001,MID,11.90201748532217,17.136950670324552
BOMDYEING,379200000.0,22994900000.0,8917000000.0,0.016490613135956234,4,0.026935835600480185,38.77816385372409,1.5349563462306652,2.0,7,7.0,85345971.215,MID,1.6490613135956234,2.6935835600480185
ALOKINDS,-4511800000.0,41252900000.0,293000000.0,-0.10936928070511406,4,-0.11015163611239286,0.710253097358004,0.19743136985162174,4.0,7,7.0,78276664.37,MID,-10.936928070511406,-11.015163611239286
RISHABH,1114820000.0,8265500000.0,2032540000.0,0.13487629302522533,4,0.1788588407434028,24.59064787369185,0.3551436930818922,6.0,7,7.0,79793351.25,MID,13.487629302522533,17.88588407434028
ADFFOODS,1227958000.0,6396701000.0,1421771000.0,0.1919673906909202,4,0.24682920161690716,22.2266290076713,0.08840185536027095,4.0,7,7.0,67109774.475,MID,19.19673906909202,24.682920161690717
JYOTISTRUC,574100000.0,24508900000.0,3169200000.0,0.023424143882426383,4,0.026902908663195828,12.930812888379323,0.7906926069525977,3.0,7,7.0,90989807.33,MID,2.3424143882426383,2.690290866319583
COSMOFIRST,3315300000.0,31518600000.0,4240700000.0,0.10518550950867107,4,0.12153794830247197,13.454595064501596,0.33544151492685104,5.0,7,7.0,61782558.75,MID,10.518550950867107,12.153794830247197
CHALET,9991030000.0,60219890000.0,4028610000.0,0.16590913732987556,4,0.17780392260151398,6.689832877476196,0.16294065356241894,6.0,7,7.0,75956494.45,MID,16.590913732987556,17.780392260151398
RIIL,-91100000.0,4933300000.0,2441700000.0,-0.018466340988790464,4,-0.03656285117996468,49.494253339549594,0.4191547818680958,3.5,7,6.0,62978787.85,MID,-1.8466340988790464,-3.656285117996468
MAHSEAMLES,9420000000.0,73467900000.0,36968300000.0,0.12821926310674459,4,0.25808502010980944,50.31898284829157,0.1677329433804911,3.0,7,7.0,65821577.625,MID,12.821926310674458,25.808502010980945
MEDPLUS,3958230000.0,32432350000.0,6129480000.0,0.12204573519957697,4,0.1504866199011743,18.899278035665006,0.30124173985102576,4.666666666666667,7,6.0,89108010.3,MID,12.204573519957696,15.048661990117429
AJMERA,3019800000.0,22371800000.0,1190400000.0,0.1349824332418491,4,0.14256847989273608,5.320984453642532,0.2000015428795902,5.0,7,7.0,61778278.260000005,MID,13.49824332418491,14.256847989273608
HARSHA,2301400000.0,16293300000.0,2896600000.0,0.14124824314288695,4,0.17178857479827123,17.77785961100575,0.1618910067064338,3.0,7,7.0,66853929.8,MID,14.124824314288695,17.178857479827123
IFBIND,2131500000.0,12504000000.0,3871700000.0,0.1704654510556622,4,0.24692144619626288,30.96369161868202,0.35440526881127843,7.0,7,7.0,73634117.10000001,MID,17.046545105566217,24.692144619626287
UFBL,177780000.0,10841210000.0,580680000.0,0.01639853853951727,4,0.017326590341824447,5.356228686650291,0.5041420736375589,2.0,7,7.0,77767037.17999999,MID,1.639853853951727,1.7326590341824446
TEMBO,1545280000.0,7378534000.0,2121536000.0,0.20942913592320642,4,0.2939472299589994,28.7528118729276,0.1926104062164526,2.0,7,7.0,61843013.825,MID,20.942913592320643,29.39472299589994
EFCIL,3651310000.0,20500353000.0,3087181000.0,0.17810961596612507,4,0.20968666708167816,15.059160200802395,0.3576227837404175,5.0,7,7.0,91609330.58500001,MID,17.810961596612508,20.968666708167817
